Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),2013-06-16,Kg,35.0,40.0,37.5
Tomato Small(Local),2013-06-16,Kg,26.0,32.0,29.0
Potato Red,2013-06-16,Kg,20.0,21.0,20.5
Potato White,2013-06-16,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-16,Kg,28.0,30.0,29.0
Onion Green,2013-06-16,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-17,Kg,20.0,25.0,22.5
Potato Red,2013-06-17,Kg,20.0,21.0,20.5
Potato White,2013-06-17,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-17,Kg,29.0,30.0,29.5
Onion Green,2013-06-17,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-18,Kg,22.0,26.0,24.0
Potato Red,2013-06-18,Kg,19.0,20.0,19.5
Potato White,2013-06-18,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-18,Kg,33.0,35.0,34.0
Onion Green,2013-06-18,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-19,Kg,24.0,28.0,26.0
Potato Red,2013-06-19,Kg,20.0,21.0,20.5
Potato White,2013-06-19,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-19,Kg,34.0,35.0,34.5
Onion Green,2013-06-19,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-20,Kg,22.0,26.0,24.0
Potato Red,2013-06-20,Kg,20.0,21.0,20.5
Potato White,2013-06-20,Kg,15.0,16.0,15.5
Onion Dry (Indian),2013-06-20,Kg,35.0,36.0,35.5
Onion Green,2013-06-20,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5
Tomato Small(Local),2013-06-21,Kg,15.0,20.0,17.5
Potato Red,2013-06-21,Kg,21.0,22.0,21.5
Potato White,2013-06-21,Kg,16.0,17.0,16.5
Onion Dry (Indian),2013-06-21,Kg,34.0,35.0,34.5
Onion Green,2013-06-21,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-06-25,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-06-25,Kg,25.0,30.0,27.5
Potato Red,2013-06-25,Kg,23.0,25.0,24.0
Potato White,2013-06-25,Kg,17.0,18.0,17.5
Onion Dry (Indian),2013-06-25,Kg,33.0,35.0,34.0
Onion Green,2013-06-25,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-06-26,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-06-26,Kg,20.0,25.0,22.5
Potato Red,2013-06-26,Kg,22.0,23.0,22.5
Potato White,2013-06-26,Kg,17.0,18.0,17.5
Onion Dry (Indian),2013-06-26,Kg,33.0,35.0,34.0
