Crop,Date,Average,Price_Lag1,Price_Lag7,Year,Month,Season
Onion,2013-06-30,37.25,37.25,42.5,2013,6,Monsoon
Onion,2013-07-01,37.5,37.25,36.5,2013,7,Monsoon
Onion,2013-07-02,38.25,37.5,36.0,2013,7,Monsoon
Onion,2013-07-03,39.25,38.25,38.25,2013,7,Monsoon
Onion,2013-07-04,39.25,39.25,35.75,2013,7,Monsoon
Onion,2013-07-05,39.25,39.25,39.25,2013,7,Monsoon
Onion,2013-07-09,41.25,39.25,37.25,2013,7,Monsoon
Onion,2013-07-10,39.25,41.25,37.25,2013,7,Monsoon
Onion,2013-07-11,41.25,39.25,37.5,2013,7,Monsoon
Onion,2013-07-12,43.75,41.25,38.25,2013,7,Monsoon
Onion,2013-07-14,43.75,43.75,39.25,2013,7,Monsoon
Onion,2013-07-15,41.25,43.75,39.25,2013,7,Monsoon
Onion,2013-07-16,42.25,41.25,39.25,2013,7,Monsoon
Onion,2013-07-17,40.75,42.25,41.25,2013,7,Monsoon
Onion,2013-07-18,43.0,40.75,39.25,2013,7,Monsoon
Onion,2013-07-19,44.5,43.0,41.25,2013,7,Monsoon
Onion,2013-07-21,44.5,44.5,43.75,2013,7,Monsoon
Onion,2013-07-22,44.25,44.5,43.75,2013,7,Monsoon
Onion,2013-07-23,44.25,44.25,41.25,2013,7,Monsoon
Onion,2013-07-24,44.25,44.25,42.25,2013,7,Monsoon
Onion,2013-07-25,44.0,44.25,40.75,2013,7,Monsoon
Onion,2013-07-26,41.5,44.0,43.0,2013,7,Monsoon
Onion,2013-07-28,41.5,41.5,44.5,2013,7,Monsoon
Onion,2013-07-29,41.75,41.5,44.5,2013,7,Monsoon
Onion,2013-07-30,41.75,41.75,44.25,2013,7,Monsoon
Onion,2013-07-31,41.75,41.75,44.25,2013,7,Monsoon
Onion,2013-08-01,42.25,41.75,44.25,2013,8,Monsoon
Onion,2013-08-02,42.25,42.25,44.0,2013,8,Monsoon
Onion,2013-08-04,44.75,42.25,41.5,2013,8,Monsoon
Onion,2013-08-05,45.75,44.75,41.5,2013,8,Monsoon
